gene_name	label
OR4F5	-1
SAMD11	0
NOC2L	0
KLHL17	0
PLEKHN1	-1
ISG15	1
AGRN	0
C1orf159	-1
TTLL10	-1
SDF4	0
UBE2J2	-1
SCNN1D	0
ACAP3	-1
DVL1	0
AURKAIP1	0
CCNL2	0
MRPL20	0
ANKRD65	-1
VWA1	0
ATAD3C	0
ATAD3B	0
ATAD3A	0
TMEM240	0
CDK11B	0
CDK11A	0
NADK	0
GNB1	0
CALML6	0
TMEM52	-1
GABRD	0
PRKCZ	0
SKI	0
MORN1	0
RER1	0
PEX10	0
PLCH2	0
PANK4	0
TNFRSF14	0
MMEL1	0
ACTRT2	0
PRDM16	0
ARHGEF16	0
MEGF6	0
TPRG1L	0
WRAP73	0
TP73	1
CCDC27	-1
SMIM1	0
LRRC47	0
CEP104	0
DFFB	0
C1orf174	0
AJAP1	0
NPHP4	0
KCNAB2	0
CHD5	0
RPL22	0
RNF207	0
ICMT	0
GPR153	0
ACOT7	0
ESPN	0
TNFRSF25	0
PLEKHG5	0
TAS1R1	0
ZBTB48	0
KLHL21	0
PHF13	0
DNAJC11	0
CAMTA1	0
VAMP3	0
PER3	0
UTS2	0
TNFRSF9	0
PARK7	0
ERRFI1	0
SLC45A1	0
RERE	0
ENO1	0
CA6	0
SLC2A7	0
SLC2A5	0
GPR157	-1
H6PD	0
SPSB1	0
SLC25A33	0
TMEM201	0
PIK3CD	0
CLSTN1	0
LZIC	0
NMNAT1	0
UBE4B	0
KIF1B	0
PGD	0
DFFA	0
PEX14	0
CASZ1	0
C1orf127	-1
TARDBP	0
MASP2	0
SRM	0
EXOSC10	0
MTOR	0
ANGPTL7	0
UBIAD1	0
FBXO2	0
FBXO44	0
FBXO6	0
MAD2L2	0
DRAXIN	0
AGTRAP	0
MTHFR	0
CLCN6	0
NPPA	1
KIAA2013	0
PLOD1	0
MFN2	0
MIIP	0
TNFRSF8	0
TNFRSF1B	1
VPS13D	0
DHRS3	0
AADACL4	-1
AADACL3	-1
C1orf158	-1
PRAMEF12	0
PRAMEF1	-1
PRAMEF11	-1
HNRNPCL1	-1
PRAMEF2	-1
PRAMEF4	-1
PRAMEF10	-1
PRAMEF7	-1
PRAMEF8	-1
PRAMEF15	-1
PRAMEF14	-1
PRAMEF19	-1
PRAMEF17	-1
PRAMEF20	-1
LRRC38	0
PDPN	0
PRDM2	0
KAZN	0
TMEM51	-1
FHAD1	-1
CTRC	0
CELA2A	0
CELA2B	0
CASP9	1
DNAJC16	0
AGMAT	0
DDI2	0
PLEKHM2	0
TMEM82	-1
FBLIM1	0
SPEN	0
ZBTB17	0
HSPB7	0
CLCNKA	0
CLCNKB	0
FAM131C	0
EPHA2	0
ARHGEF19	0
FBXO42	0
SZRD1	0
SPATA21	0
NECAP2	0
NBPF1	0
CROCC	0
ATP13A2	0
SDHB	0
PADI2	0
PADI1	0
PADI3	0
PADI4	0
RCC2	0
ARHGEF10L	0
ACTL8	-1
IGSF21	0
KLHDC7A	-1
PAX7	0
TAS1R2	0
IFFO2	-1
UBR4	0
EMC1	0
MRTO4	0
AKR7A3	0
AKR7A2	0
CAPZB	0
NBL1	0
TMCO4	-1
RNF186	0
OTUD3	0
PLA2G2E	0
PLA2G2A	0
PLA2G2D	0
PLA2G2F	0
PLA2G2C	-1
UBXN10	0
VWA5B1	-1
FAM43B	-1
CDA	0
PINK1	0
KIF17	0
SH2D5	0
HP1BP3	0
EIF4G3	0
ECE1	0
NBPF3	0
ALPL	0
RAP1GAP	0
USP48	0
LDLRAD2	-1
HSPG2	0
CELA3B	0
CELA3A	0
CDC42	0
WNT4	0
ZBTB40	0
EPHA8	0
C1QA	0
C1QC	0
C1QB	0
EPHB2	0
KDM1A	0
LUZP1	0
HTR1D	0
HNRNPR	0
ZNF436	0
TCEA3	0
ASAP3	0
E2F2	0
ID3	0
RPL11	0
PITHD1	0
LYPLA2	0
GALE	0
HMGCL	0
FUCA1	0
CNR2	1
PNRC2	0
SRSF10	0
MYOM3	0
IL22RA1	0
IFNLR1	0
GRHL3	0
STPG1	0
NIPAL3	0
RCAN3	0
NCMAP	-1
SRRM1	0
CLIC4	0
SYF2	0
RHD	0
TMEM50A	0
RHCE	0
LDLRAP1	0
MAN1C1	0
MTFR1L	0
